RowNumber,IdClient,NomFamille,ScoreCredit,ZoneGeo,Genre,Age,Anciennete,Solde,NbProduits,CarteCredit,MembreActif,SalaireEstim,Churn
100,15607986,Nnamutaezinwa,555,France,Homme,40.0,10,69965.09,1,Oui,Oui,52860.045,Non
101,15672056,Kenenna,710,Allemagne,Homme,43.0,2,70040.16,3,Oui,Oui,78954.095,Oui
102,15584113,Pratt,823,Allemagne,Femme,53.0,4,62477.47,1,Non,Oui,65629.8,Oui
103,15628530,Booth,694,France,Homme,42.0,3,78432.1,2,Non,Non,44445.375,Non
104,15779267,Onyemere,584,France,Homme,47.0,5,0.0,2,Oui,Non,44643.145,Non
105,15611171,Fowler,740,France,Homme,33.0,1,64787.49,1,Oui,Oui,61650.19,Non
106,15585041,Ainsworth,511,France,Homme,33.0,7,0.0,2,Non,Oui,79156.935,Non
107,15726494,Romani,481,France,Homme,44.0,9,87651.53,1,Oui,Non,32750.265,Oui
108,15679663,Chiazagomekpere,488,France,Femme,36.0,0,0.0,2,Oui,Non,68337.61,Non
109,15679029,Kung,718,France,Homme,33.0,7,51437.14,1,Non,Non,58920.53,Non
110,15595728,Thomas,523,Allemagne,Homme,41.0,0,59638.155,1,Non,Non,61142.19,Oui
111,15689602,Findlay,698,France,Homme,38.0,2,65007.62,1,Oui,Oui,20797.65,Non
112,15616213,Levy,555,Allemagne,Femme,51.0,9,69107.25,1,Oui,Non,99357.635,Oui
113,15626141,Fedorov,750,France,Femme,26.0,1,75755.085,2,Oui,Oui,9960.86,Non
114,15596800,Hill,779,Allemagne,Homme,33.0,1,79228.38,1,Oui,Oui,98500.46,Oui
115,15713517,Otitodilinna,529,France,Homme,39.0,6,51012.54,2,Oui,Non,6175.505,Non
116,15806184,Burns,618,Espagne,Homme,33.0,4,0.0,2,Oui,Oui,38775.09,Non
117,15572361,Chill,790,Allemagne,Femme,34.0,2,82005.74,1,Oui,Non,99710.205,Non
118,15812351,Beluchi,710,Espagne,Femme,,2,67638.98,1,Oui,Non,71100.075,Non
119,15642345,Y?,714,Allemagne,Femme,49.0,4,46529.67,1,Oui,Non,3785.755,Oui
120,15732430,H?,850,Espagne,Femme,54.0,4,60476.37,1,Oui,Non,33481.575,Non
121,15730287,Ugonna,679,France,Homme,41.0,8,73863.49,3,Oui,Non,,Oui
122,15718852,Uren,794,France,Homme,56.0,9,48475.605,1,Oui,Oui,35888.38,Non
123,15622305,Martin,746,Allemagne,Femme,33.0,2,53934.07,2,Oui,Oui,73096.2,Non
124,15634295,Wilson,470,France,Homme,35.0,1,48236.795,1,Non,Non,2981.15,Non
125,15685628,Calabresi,670,Espagne,Homme,35.0,2,62134.32,2,Non,Oui,42160.515,Non
126,15786739,Clements,669,France,Homme,37.0,1,62764.775,1,Oui,Oui,81130.465,Non
127,15633352,Okwukwe,628,France,Femme,31.0,6,87721.875,1,Oui,Non,56583.585,Oui
128,15762821,Udinese,721,Espagne,Homme,33.0,5,0.0,2,Non,Oui,58813.45,Non
129,15814331,Lung,597,Allemagne,Femme,43.0,7,59563.73,2,Oui,Non,27904.96,Non
130,15628298,Johnstone,500,Espagne,Femme,47.0,8,64243.055,1,Oui,Non,89613.56,Non
131,15713673,T'ien,494,France,Femme,33.0,1,68926.5,1,Non,Oui,45136.925,Non
132,15575002,Ferguson,676,France,Homme,29.0,4,70360.465,1,Oui,Non,18110.59,Non
133,15568506,Forbes,524,Allemagne,Femme,31.0,10,33619.49,2,Oui,Oui,,Non
134,15694125,McElhone,669,France,Homme,57.0,5,0.0,2,Oui,Oui,,Non
135,15566790,McIntyre,598,France,Homme,28.0,8,64995.88,2,Non,Oui,23020.54,Non
136,15656829,Hughes,577,Espagne,Femme,33.0,6,0.0,2,Oui,Non,,Non
137,15738721,Graham,773,Espagne,Homme,41.0,9,51413.72,1,Non,Oui,32297.625,Non
138,15736717,Ma,602,France,Homme,31.0,7,77635.915,1,Oui,Oui,89723.155,Non
139,15586974,Pearce,656,France,Homme,39.0,10,0.0,2,Oui,Oui,49447.32,Non
140,15783276,Forbes,725,France,Femme,25.0,9,0.0,2,Oui,Oui,84303.87,Non
141,15600781,Wu,699,Allemagne,Homme,34.0,4,92586.905,2,Oui,Non,60417.24,Non
142,15570299,Martin,584,Allemagne,Femme,31.0,6,76311.17,1,Oui,Non,,Non
143,15795246,Kaeppel,628,Allemagne,Femme,51.0,9,77951.91,2,Oui,Oui,35579.92,Non
144,15659428,Maggard,520,Espagne,Femme,42.0,6,0.0,2,Oui,Oui,17205.275,Non
145,15745433,Conti,716,Allemagne,Femme,30.0,2,102885.39,2,Non,Non,32732.33,Non
146,15669262,Maslov,765,France,Homme,43.0,9,78980.245,2,Non,Non,68301.4,Non
147,15757661,Trevisano,589,France,Femme,39.0,7,0.0,2,Non,Non,47992.82,Non
148,15680303,Gibson,594,France,Homme,57.0,6,0.0,1,Oui,Non,9688.28,Oui
149,15668445,Mai,521,France,Homme,37.0,2,0.0,2,Oui,Oui,43186.12,Non
150,15702380,De Luca,663,Espagne,Homme,64.0,6,0.0,2,Non,Oui,7938.26,Non
151,15589323,Law,636,France,Femme,24.0,9,0.0,2,Non,Oui,19415.36,Non
152,15768887,Hsing,597,Espagne,Homme,26.0,5,0.0,2,Non,Oui,,Non
153,15724251,Todd,682,Allemagne,Femme,29.0,6,50506.385,1,Non,Non,16294.945,Oui
154,15630511,Picot,691,France,Femme,,6,0.0,2,Oui,Non,82037.445,Non
155,15732281,Ugoji,680,Allemagne,Homme,34.0,6,73211.11,1,Oui,Non,33571.485,Oui
156,15650488,Bromley,492,France,Femme,48.0,6,63626.99,1,Oui,Oui,46072.045,Oui
157,15778696,Ikemefuna,684,Espagne,Femme,36.0,5,87090.195,1,Oui,Non,59915.04,Non
158,15706552,Odinakachukwu,533,France,Homme,36.0,7,42655.85,1,Non,Oui,78365.955,Non
159,15767598,Kent,540,Espagne,Homme,28.0,8,0.0,2,Non,Non,98794.16,Non
160,15621520,Tang,783,Allemagne,Femme,42.0,2,69853.64,1,Oui,Non,1075.11,Non
161,15656300,Lucciano,411,France,Homme,29.0,0,29848.585,2,Oui,Oui,26741.605,Non
162,15757588,Wright,526,France,Homme,30.0,9,0.0,2,Non,Non,50497.84,Non
163,15642001,Lorenzen,576,Allemagne,Homme,44.0,9,59765.26,1,Oui,Non,59528.34,Oui
164,15784209,Tang,497,France,Homme,47.0,6,0.0,1,Oui,Oui,45027.54,Non
165,15767794,Browne,744,France,Homme,31.0,9,60359.14,1,Oui,Oui,29480.745,Non
166,15599195,Stiger,582,Allemagne,Homme,32.0,1,44469.31,1,Oui,Oui,5027.265,Non
167,15728480,Iloerika,452,France,Femme,35.0,8,0.0,2,Oui,Oui,74807.405,Non
168,15631222,Cattaneo,485,France,Femme,39.0,2,37669.82,1,Oui,Oui,35332.58,Non
169,15669491,Cruz,850,France,Femme,46.0,2,78933.385,1,Oui,Oui,9493.06,Non
170,15671969,Pruneda,649,,Homme,36.0,8,0.0,2,Oui,Non,80834.075,Non
171,15782899,Ginn,661,Espagne,Femme,28.0,7,47678.745,1,Non,Non,51148.575,Non
172,15724648,Chikezie,725,France,Homme,26.0,6,49342.075,1,Non,Non,66860.285,Non
173,15671769,Zikoranachidimma,624,France,Femme,71.0,4,85126.025,3,Oui,Oui,36839.795,Oui
174,15809847,Tan,668,France,Homme,46.0,0,0.0,2,Non,Non,14694.01,Non
175,15803716,West,706,Espagne,Homme,28.0,3,0.0,2,Non,Oui,90771.835,Non
176,15812191,Brennan,553,France,Homme,33.0,4,59041.445,1,Non,Non,47220.225,Non
177,15707144,Onyeorulu,571,Allemagne,Homme,25.0,6,41253.36,2,Oui,Non,83852.535,Non
178,15811032,Gambrell,477,Allemagne,Femme,58.0,8,72992.46,1,Oui,Oui,12282.35,Non
179,15722212,Edmondstone,696,France,Femme,41.0,8,0.0,2,Non,Non,14138.415,Non
180,15700749,Powell,481,France,Femme,39.0,6,0.0,1,Oui,Oui,,Non
181,15750121,Tung,639,France,Homme,38.0,3,0.0,1,Oui,Non,,Non
182,15735549,Lori,810,Allemagne,Homme,35.0,3,48407.23,2,Oui,Oui,60255.515,Non
183,15621063,Gibbons,516,France,Femme,42.0,8,28114.125,1,Oui,Non,23428.76,Non
184,15750156,Yu,662,Allemagne,Homme,59.0,2,52284.205,1,Oui,Non,4029.72,Oui
185,15807269,Milanesi,690,Allemagne,Homme,43.0,2,83261.39,1,Non,Non,59822.295,Oui
186,15606436,Bergamaschi,500,Espagne,Homme,38.0,7,0.0,2,Non,Non,96006.615,Non
187,15603134,Pai,656,Espagne,Femme,40.0,10,83939.25,1,Non,Oui,75943.58,Non
188,15629750,Artyomova,697,France,Homme,35.0,5,66543.88,1,Oui,Non,32385.805,Non
189,15648735,Cashin,718,France,Homme,37.0,8,0.0,2,Oui,Oui,71.405,Non
190,15716164,Nicholls,501,France,Femme,41.0,3,72130.25,1,Oui,Non,86057.335,Non
191,15707219,Hopman,844,France,Femme,28.0,4,0.0,2,Non,Oui,61659.185,Non
192,15693203,Powell,710,Espagne,Femme,75.0,5,0.0,2,Oui,Oui,4688.445,Non
193,15580252,Waters,748,France,Homme,44.0,4,56305.385,1,Non,Oui,1024.275,Non
194,15570769,Kibble,494,France,Homme,69.0,9,46660.4,1,Oui,Oui,12244.72,Non
195,15668775,Pendred,757,France,Homme,47.0,3,65373.55,1,Oui,Non,71914.77,Non
196,15812210,Yashina,497,Allemagne,Femme,32.0,8,55768.615,4,Oui,Oui,4748.995,Oui
197,15794870,Sal,744,Allemagne,Homme,38.0,6,36511.585,2,Oui,Non,39385.43,Non
198,15672821,Owen,591,France,Homme,28.0,5,0.0,2,Oui,Oui,24303.46,Non
199,15805955,L?,638,France,Femme,48.0,10,69166.515,1,Oui,Oui,23839.57,Non
200,15655590,Garcia,581,Espagne,Homme,46.0,2,39692.605,2,Non,Non,94246.41,Non
201,15660768,L?,604,France,Homme,,1,42157.51,1,Non,Non,18104.55,Non
202,15616365,Obiuto,571,France,Femme,53.0,2,0.0,2,Oui,Non,14022.885,Non
203,15607178,Welch,850,Allemagne,Homme,38.0,3,27450.505,1,Oui,Oui,70037.775,Non
204,15756751,Griffiths,596,Espagne,Femme,54.0,0,39063.14,1,Oui,Oui,76741.455,Oui
205,15735782,MacDonald,528,France,Homme,31.0,9,60481.295,1,Oui,Non,2709.655,Non
206,15613772,Dalrymple,542,France,Homme,39.0,3,67548.385,1,Oui,Oui,7176.715,Oui
207,15688157,Padovano,683,Allemagne,Femme,39.0,2,23842.735,2,Oui,Oui,43009.74,Non
208,15775912,Mazzanti,698,France,Homme,48.0,4,50619.12,2,Non,Oui,88907.935,Oui
209,15773876,Tung,655,France,Femme,34.0,3,0.0,2,Oui,Non,79819.385,Non
210,15702919,Collins,729,Allemagne,Homme,30.0,6,31834.71,1,Oui,Non,72555.685,Non
211,15587177,Lloyd,646,France,Homme,36.0,6,62222.76,1,Oui,Non,44240.66,Non
212,15812365,Greco,850,France,Homme,40.0,8,51400.325,1,Oui,Non,30405.78,Non
213,15668889,Galgano,665,Allemagne,Femme,43.0,2,58161.135,4,Oui,Non,17820.06,Oui
214,15680430,Ajuluchukwu,601,Allemagne,Femme,49.0,4,48126.49,2,Oui,Non,52131.91,Non
215,15621440,Soto,694,France,Homme,38.0,1,0.0,2,Non,Oui,78429.1,Non
216,15590349,Rowland,732,France,Femme,36.0,9,0.0,1,Non,Non,1874.5,Oui
217,15761364,Nkemjika,679,France,Homme,30.0,9,0.0,2,Oui,Non,78935.775,Non
218,15599074,Ma,487,Espagne,Femme,40.0,6,68046.87,1,Non,Oui,96704.215,Non
219,15614168,Alexander,792,Allemagne,Femme,50.0,4,73355.38,1,Oui,Non,8264.2,Oui
220,15644724,Fan,472,France,Homme,31.0,4,29331.46,2,Non,Oui,36661.0,Non
221,15789563,Fiorentino,706,Allemagne,Femme,46.0,7,55644.09,1,Oui,Oui,74585.125,Oui
222,15595162,Cattaneo,708,Espagne,Femme,35.0,8,61285.345,1,Non,Non,99502.94,Non
223,15800793,St Clair,477,Allemagne,Femme,39.0,4,91245.785,1,Oui,Non,92915.36,Non
224,15711288,Hay,512,France,Homme,24.0,6,0.0,2,Oui,Non,18827.155,Non
225,15739123,Mellor,737,Allemagne,Homme,50.0,4,63776.425,2,Oui,Non,2112.555,Non
226,15660524,Hu,572,Allemagne,Femme,54.0,9,48691.265,1,Oui,Oui,97885.975,Non
227,15629002,Hamilton,747,Allemagne,Homme,36.0,8,51301.65,2,Oui,Oui,90346.805,Non
228,15592999,Reid,691,France,Femme,40.0,0,57732.99,1,Oui,Oui,30311.305,Non
229,15712303,Valentin,692,France,Homme,66.0,4,79866.01,1,Oui,Oui,59094.075,Non
230,15663883,Hansen,850,Allemagne,Homme,32.0,9,70913.665,2,Oui,Oui,74729.365,Non
231,15619529,Ndukaku,531,Espagne,Homme,27.0,8,66288.125,1,Non,Non,3611.46,Non
232,15720559,Heath,487,Allemagne,Femme,61.0,5,55184.015,1,Non,Non,5692.225,Oui
233,15725036,Jideofor,709,France,Homme,42.0,9,59273.355,1,Non,Oui,38571.425,Non
234,15610416,Christie,745,France,Femme,36.0,9,0.0,1,Oui,Non,9802.59,Oui
235,15680370,DeRose,492,France,Homme,39.0,7,0.0,2,Non,Oui,35661.615,Non
236,15670822,Palmer,719,France,Femme,22.0,7,57207.92,1,Oui,Oui,88748.7,Non
237,15714750,Northey,690,France,Femme,42.0,3,46289.07,2,Non,Non,,Non
238,15728474,Chienezie,558,Allemagne,Homme,32.0,4,54117.955,1,Oui,Oui,71891.64,Non
239,15588419,Johnston,651,,Femme,34.0,10,74481.23,1,Oui,Non,33194.715,Oui
240,15790750,Manfrin,592,Allemagne,Homme,36.0,10,61593.755,1,Non,Oui,73055.675,Non
241,15568904,Kruglova,608,Allemagne,Homme,34.0,3,53144.27,1,Oui,Oui,18319.625,Non
242,15595937,Bruno,430,Allemagne,Homme,36.0,1,69496.24,2,Non,Non,61186.71,Non
243,15706021,Buley,665,France,Femme,34.0,1,48322.77,2,Non,Non,85706.83,Non
244,15792565,Duncan,745,France,Femme,46.0,7,0.0,2,Oui,Oui,33884.97,Non
245,15771942,Tikhonov,528,Allemagne,Femme,46.0,9,67777.83,1,Oui,Non,66573.015,Oui
246,15638149,Rowley,528,France,Homme,37.0,6,51886.225,1,Oui,Non,98555.995,Non
247,15719212,T'ien,491,,Homme,33.0,5,41567.15,1,Oui,Non,93973.275,Non
248,15794661,Liu,674,Espagne,Homme,32.0,2,0.0,2,Oui,Non,70289.585,Non
249,15591433,Miles,674,Allemagne,Homme,43.0,8,42978.94,2,Oui,Non,4378.695,Non
250,15805704,Murphy,745,France,Femme,32.0,2,0.0,4,Non,Oui,89852.565,Oui
251,15686588,Manfrin,777,France,Femme,28.0,2,67285.75,1,Non,Oui,59156.69,Non
252,15809248,Cole,524,France,Femme,36.0,10,0.0,2,Oui,Non,54807.285,Non
253,15637324,Kay,657,France,Femme,28.0,7,0.0,2,Non,Oui,2588.81,Non
254,15739578,Chiazagomekpere,850,France,Homme,49.0,6,64331.95,1,Oui,Non,32884.65,Oui
255,15766163,Zotova,676,,Homme,38.0,1,0.0,2,Non,Oui,17822.395,Non
256,15693382,Muir,828,France,Homme,31.0,9,0.0,1,Non,Oui,,Non
257,15704819,Ositadimma,734,Espagne,Femme,39.0,6,46063.13,2,Non,Non,56486.67,Non
258,15636912,Sneddon,678,Espagne,Homme,38.0,3,62241.765,1,Oui,Non,63126.655,Non
259,15794257,Hsiung,651,France,Homme,34.0,4,45781.495,1,Oui,Oui,61977.075,Non
260,15600626,Bradley,710,France,Homme,30.0,6,0.0,2,Oui,Oui,4495.585,Non
261,15763256,Sheppard,661,Allemagne,Femme,64.0,8,64375.825,2,Oui,Non,94699.09,Oui
262,15707602,Macleod,539,France,Femme,47.0,2,63643.02,2,Oui,Oui,83464.715,Oui
263,15798943,Alexander,646,France,Femme,46.0,8,0.0,2,Oui,Non,66529.575,Non
264,15670205,Boyd,518,Allemagne,Femme,41.0,5,55312.495,1,Oui,Non,44663.835,Non
265,15671209,Holden,593,Allemagne,Femme,29.0,5,50856.92,3,Oui,Non,67297.495,Non
266,15766064,Komarova,559,France,Homme,,9,55530.025,2,Oui,Non,55185.92,Non
267,15789557,Howell-Price,817,Allemagne,Femme,27.0,7,64905.3,1,Oui,Oui,29629.72,Non
268,15784687,Simmons,592,France,Homme,36.0,1,63238.71,1,Non,Non,,Non
269,15628123,Robinson,632,France,Femme,28.0,5,59445.405,1,Non,Oui,72578.985,Non
270,15600991,Artemieva,694,Allemagne,Homme,31.0,6,54526.295,2,Oui,Oui,9724.465,Oui
271,15763107,Little,700,France,Femme,30.0,9,0.0,1,Oui,Oui,87485.82,Non
272,15584288,Hung,629,France,Femme,33.0,6,0.0,2,Oui,Oui,29564.86,Non
273,15749265,Carslaw,427,Allemagne,Homme,42.0,1,37840.76,1,Oui,Oui,28549.0,Non
274,15800068,Cooper,801,Espagne,Femme,46.0,6,0.0,2,Oui,Oui,85004.37,Non
275,15776807,Brennan,654,France,Homme,29.0,1,0.0,1,Oui,Non,90172.72,Non
276,15765300,L?,596,Allemagne,Homme,40.0,5,31194.515,3,Oui,Non,74311.715,Oui
277,15752601,McCulloch,578,,Femme,40.0,7,0.0,2,Non,Non,,Non
278,15741728,Atkins,591,Espagne,Homme,36.0,7,67608.4,1,Oui,Oui,61011.445,Non
279,15736533,Monaldo,730,Allemagne,Femme,37.0,5,62026.515,1,Oui,Non,59295.835,Non
280,15784700,Chikelu,811,France,Homme,31.0,7,58899.64,1,Oui,Oui,91186.175,Non
281,15646594,Ali,749,France,Homme,41.0,5,28784.47,1,Oui,Oui,30564.145,Non
282,15622897,Sharpe,646,France,Femme,46.0,4,0.0,3,Oui,Non,46625.71,Oui
283,15742116,Torres,671,Allemagne,Femme,48.0,9,58355.53,2,Non,Non,38186.69,Non
284,15627859,Nebeolisa,607,Allemagne,Homme,29.0,7,51304.5,1,Oui,Non,81628.72,Non
